City,Vehicle Type,Weather,Economic Condition,Day Of Week,Hour Of Day,Speed,Is Peak Hour,Random Event Occurred,Energy Consumption,Traffic Density
AquaCity,Car,Solar Flare,Booming,Monday,20,108.0,0,0,110.6208,0.8584
TechHaven,Drone,Snowy,Booming,Wednesday,3,21.6702,0,0,12.9607,0.2759
AquaCity,Car,Rainy,Recession,Sunday,20,45.0251,0,0,45.0251,0.1122
AquaCity,Autonomous Vehicle,Snowy,Recession,Friday,9,81.306,0,0,65.0448,0.1655
MetropolisX,Autonomous Vehicle,Rainy,Booming,Sunday,16,38.2617,0,0,32.2203,0.7232
TechHaven,Drone,Rainy,Stable,Monday,10,20.7357,0,0,12.4017,0.1756
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Booming,Saturday,10,68.121,0,0,54.4968,0.5524
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Saturday,4,39.2857,0,0,31.4285,0.2494
TechHaven,Drone,Electromagnetic Storm,Recession,Friday,12,23.5391,0,0,14.0784,0.2365
MetropolisX,Autonomous Vehicle,Rainy,Recession,Thursday,15,46.1193,0,0,70.0529,0.1928
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Stable,Tuesday,23,51.8661,0,0,49.6327,0.631
SolarisVille,Drone,Snowy,Booming,Wednesday,17,29.8393,1,0,14.9197,0.596
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Sunday,23,86.4,0,0,83.2579,0.1774
SolarisVille,Autonomous Vehicle,Solar Flare,Stable,Thursday,23,104.276,0,0,92.6898,0.1346
TechHaven,Drone,Electromagnetic Storm,Stable,Saturday,18,51.9466,0,0,31.0685,0.181
MetropolisX,Autonomous Vehicle,Rainy,Recession,Monday,7,93.3177,1,0,71.4394,0.2748
TechHaven,Autonomous Vehicle,Clear,Stable,Friday,17,27.5507,1,0,20.0369,0.3143
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,17,76.173,1,0,60.9384,0.2672
MetropolisX,Car,Solar Flare,Booming,Friday,13,30.6969,0,1,34.8828,0.5188
AquaCity,Autonomous Vehicle,Clear,Recession,Thursday,19,62.8593,0,0,55.8749,0.0658
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Monday,16,52.9731,0,0,42.3785,0.1419
SolarisVille,Autonomous Vehicle,Rainy,Recession,Sunday,11,59.5612,0,0,47.649,0.1593
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Wednesday,21,22.6525,0,0,17.601,0.1466
TechHaven,Drone,Electromagnetic Storm,Stable,Thursday,19,58.0739,0,0,34.7332,0.2889
Ecoopolis,Drone,Clear,Stable,Tuesday,7,69.12,1,0,59.0178,0.1746
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Recession,Saturday,18,15.8798,0,0,15.196,0.1347
Neuroburg,Autonomous Vehicle,Solar Flare,Stable,Wednesday,7,29.5243,1,0,21.4722,0.0801
MetropolisX,Drone,Rainy,Stable,Monday,5,38.4046,0,0,22.9693,0.5841
MetropolisX,Drone,Rainy,Booming,Tuesday,9,53.6111,0,0,39.1894,0.9258
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Booming,Friday,1,77.0057,0,0,61.6046,0.3467
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Recession,Thursday,19,50.7006,0,0,44.9234,0.0379
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Tuesday,4,35.8647,0,0,28.6917,0.0484
Neuroburg,Autonomous Vehicle,Solar Flare,Stable,Saturday,6,29.4351,0,0,26.7592,0.1259
Ecoopolis,Autonomous Vehicle,Solar Flare,Recession,Wednesday,3,81.2345,0,0,64.9876,0.0555
Ecoopolis,Autonomous Vehicle,Clear,Booming,Thursday,12,82.6053,0,0,66.0842,0.2294
SolarisVille,Autonomous Vehicle,Clear,Stable,Monday,6,83.7215,0,0,66.9772,0.3795
MetropolisX,Autonomous Vehicle,Solar Flare,Booming,Thursday,16,99.0618,0,0,90.0562,0.2719
AquaCity,Autonomous Vehicle,Solar Flare,Booming,Monday,3,98.8368,0,0,79.0694,0.2922
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Booming,Thursday,12,67.173,0,0,53.7384,0.2245
SolarisVille,Autonomous Vehicle,Solar Flare,Stable,Wednesday,18,27.5923,1,0,24.5265,0.1737
MetropolisX,Drone,Rainy,Stable,Tuesday,15,51.6401,0,0,30.8852,0.4281
MetropolisX,Autonomous Vehicle,Rainy,Recession,Thursday,12,53.7072,0,0,81.5785,0.2156
AquaCity,Drone,Electromagnetic Storm,Booming,Friday,7,55.9635,1,0,27.9817,0.4843
SolarisVille,Autonomous Vehicle,Solar Flare,Booming,Saturday,23,94.5176,0,0,75.6141,0.2781
AquaCity,Autonomous Vehicle,Snowy,Recession,Saturday,18,47.5057,0,0,38.0046,0.1477
MetropolisX,Drone,Solar Flare,Stable,Saturday,21,74.5631,0,0,42.3654,0.5214
Ecoopolis,Autonomous Vehicle,Clear,Booming,Tuesday,19,82.2437,0,0,73.1055,0.1863
AquaCity,Autonomous Vehicle,Clear,Stable,Saturday,12,86.4,1,0,75.3762,0.7029
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Saturday,9,34.884,0,0,27.9072,0.225
Neuroburg,Autonomous Vehicle,Snowy,Recession,Friday,10,56.2534,0,1,53.831,0.0259
SolarisVille,Drone,Rainy,Recession,Saturday,12,95.04,1,0,48.4477,0.234
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Thursday,13,54.3168,0,0,43.4534,0.2006
SolarisVille,Autonomous Vehicle,Rainy,Booming,Friday,10,72.275,0,0,57.82,0.3532
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Stable,Saturday,21,20.0554,0,0,16.0443,0.5686
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Recession,Friday,5,20.6532,0,0,19.7638,0.1667
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Recession,Friday,2,76.5134,0,0,73.2186,0.0248
TechHaven,Drone,Solar Flare,Stable,Sunday,6,62.3508,0,0,35.4266,0.2229
AquaCity,Car,Snowy,Booming,Sunday,8,25.0266,0,0,25.0266,0.6129
AquaCity,Drone,Snowy,Stable,Wednesday,22,60.2612,0,0,30.1306,0.5767
TechHaven,Autonomous Vehicle,Snowy,Booming,Saturday,16,13.1141,0,0,12.5493,0.2195
Ecoopolis,Car,Rainy,Stable,Saturday,10,30.6197,0,0,30.6197,0.2043
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,3,87.7528,0,0,70.2022,0.7047
AquaCity,Autonomous Vehicle,Rainy,Stable,Saturday,0,40.5482,0,0,32.4385,0.4637
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Tuesday,6,62.9207,0,0,50.3366,0.0972
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Tuesday,8,25.9954,1,0,20.7964,0.0934
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,2,51.8401,0,0,49.6077,0.2479
Neuroburg,Autonomous Vehicle,Solar Flare,Recession,Saturday,20,57.1806,0,0,51.9824,0.0558
SolarisVille,Drone,Rainy,Recession,Sunday,10,63.2777,0,0,31.6388,0.1358
AquaCity,Autonomous Vehicle,Electromagnetic Storm,Booming,Wednesday,22,84.4731,0,0,67.5785,0.494
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,5,89.0101,0,0,71.2081,0.2847
Neuroburg,Autonomous Vehicle,Snowy,Booming,Wednesday,15,51.906,0,0,49.6708,0.0603
Ecoopolis,Drone,Electromagnetic Storm,Booming,Monday,13,63.979,0,0,31.9895,0.2285
AquaCity,Car,Solar Flare,Stable,Saturday,14,86.4,1,0,123.3861,0.5619
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Tuesday,0,60.1391,0,0,48.1112,0.1287
TechHaven,Autonomous Vehicle,Rainy,Recession,Monday,12,73.2947,0,0,70.1384,0.0382
SolarisVille,Autonomous Vehicle,Clear,Booming,Wednesday,17,84.4525,1,0,67.562,0.2904
SolarisVille,Drone,Clear,Recession,Thursday,1,90.1596,0,0,45.0798,0.0644
AquaCity,Drone,Electromagnetic Storm,Booming,Friday,5,44.1791,0,0,22.0896,0.7804
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Thursday,3,77.8401,0,0,62.2721,0.0833
AquaCity,Flying Car,Electromagnetic Storm,Stable,Thursday,7,81.4488,1,0,97.7385,0.7314
MetropolisX,Autonomous Vehicle,Snowy,Booming,Monday,1,104.6892,0,0,100.1811,0.4595
MetropolisX,Autonomous Vehicle,Solar Flare,Recession,Wednesday,2,79.306,0,0,72.0964,0.1486
SolarisVille,Autonomous Vehicle,Rainy,Recession,Saturday,21,35.7564,0,0,28.6051,0.1467
AquaCity,Autonomous Vehicle,Clear,Stable,Saturday,7,108.0,0,1,88.8499,0.5137
SolarisVille,Autonomous Vehicle,Snowy,Booming,Friday,23,66.7479,0,0,53.3983,0.4446
MetropolisX,Autonomous Vehicle,Solar Flare,Recession,Tuesday,15,52.1571,0,0,47.4155,0.2495
AquaCity,Autonomous Vehicle,Clear,Stable,Friday,19,48.8331,0,0,43.4072,0.6083
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Booming,Tuesday,12,54.1673,0,0,43.3339,0.16
Neuroburg,Autonomous Vehicle,Snowy,Stable,Tuesday,16,12.5894,0,0,12.0473,0.0706
SolarisVille,Autonomous Vehicle,Snowy,Recession,Wednesday,21,53.3885,0,0,47.4564,0.1578
TechHaven,Autonomous Vehicle,Solar Flare,Booming,Sunday,3,42.0339,0,0,38.2126,0.2628
Neuroburg,Autonomous Vehicle,Clear,Recession,Thursday,13,91.1618,0,0,82.8744,0.0541
AquaCity,Drone,Clear,Recession,Monday,16,42.5798,0,0,21.2899,0.2117
TechHaven,Autonomous Vehicle,Clear,Booming,Saturday,15,92.7446,0,0,84.3132,0.2788
TechHaven,Autonomous Vehicle,Solar Flare,Booming,Monday,15,19.928,0,0,18.1163,0.2878
Neuroburg,Autonomous Vehicle,Rainy,Booming,Tuesday,7,47.7053,1,0,36.5208,0.0735
AquaCity,Drone,Snowy,Booming,Thursday,9,62.0801,0,0,31.04,0.5668
Ecoopolis,Drone,Electromagnetic Storm,Stable,Monday,8,30.2249,1,0,15.1125,0.1709
Neuroburg,Autonomous Vehicle,Solar Flare,Recession,Tuesday,1,87.896,0,0,79.9055,0.0524
Neuroburg,Autonomous Vehicle,Clear,Recession,Thursday,13,100.3337,0,0,91.2125,0.0383
AquaCity,Autonomous Vehicle,Clear,Recession,Friday,2,90.6024,0,0,72.4819,0.3106
SolarisVille,Drone,Snowy,Booming,Tuesday,22,76.9917,0,0,38.4958,0.4882
MetropolisX,Car,Solar Flare,Recession,Wednesday,18,21.8068,1,0,21.8068,0.9426
Ecoopolis,Autonomous Vehicle,Rainy,Recession,Saturday,18,21.7309,0,0,17.3847,0.177
TechHaven,Autonomous Vehicle,Rainy,Booming,Monday,2,62.3882,0,0,59.7016,0.4199
Neuroburg,Autonomous Vehicle,Rainy,Stable,Thursday,7,49.4181,1,0,37.8321,0.1073
TechHaven,Drone,Solar Flare,Stable,Friday,10,45.2221,0,0,25.6944,0.291
SolarisVille,Autonomous Vehicle,Rainy,Recession,Wednesday,20,41.0685,0,0,36.5053,0.2167
SolarisVille,Autonomous Vehicle,Electromagnetic Storm,Recession,Thursday,13,57.3718,0,0,45.8974,0.161
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Booming,Thursday,17,82.0783,1,0,62.8351,0.5757
AquaCity,Car,Rainy,Booming,Tuesday,14,70.3609,0,0,70.3609,0.5341
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Friday,19,84.3366,0,0,74.9658,0.2001
Ecoopolis,Flying Car,Snowy,Recession,Tuesday,21,34.7188,0,0,41.6625,0.0373
SolarisVille,Autonomous Vehicle,Rainy,Booming,Tuesday,17,52.9496,1,0,42.3597,0.3178
Neuroburg,Drone,Electromagnetic Storm,Booming,Monday,15,67.4398,0,0,40.3348,0.0674
Ecoopolis,Autonomous Vehicle,Snowy,Booming,Friday,5,18.444,0,0,14.7552,0.4316
AquaCity,Drone,Electromagnetic Storm,Booming,Monday,4,22.6676,0,0,11.3338,0.7435
Neuroburg,Autonomous Vehicle,Rainy,Recession,Friday,13,72.2701,0,0,69.158,0.0097
Neuroburg,Drone,Clear,Booming,Tuesday,8,21.3221,1,0,9.6919,0.1666
SolarisVille,Autonomous Vehicle,Solar Flare,Stable,Wednesday,2,44.6476,0,0,35.7181,0.2342
Ecoopolis,Autonomous Vehicle,Rainy,Recession,Tuesday,16,27.7739,0,0,22.2191,0.0474
Neuroburg,Autonomous Vehicle,Rainy,Booming,Thursday,18,119.3133,1,0,78.0687,0.0444
MetropolisX,Autonomous Vehicle,Rainy,Booming,Wednesday,16,78.3692,0,0,74.9944,0.3458
Neuroburg,Autonomous Vehicle,Clear,Stable,Thursday,23,28.7883,0,0,26.1712,0.0869
AquaCity,Car,Clear,Booming,Monday,15,108.0,0,0,113.0845,0.6396
AquaCity,Car,Solar Flare,Recession,Friday,0,38.7879,0,0,43.0976,0.2836
Ecoopolis,Drone,Snowy,Booming,Thursday,23,86.4,0,0,50.6019,0.2022
TechHaven,Autonomous Vehicle,Clear,Stable,Wednesday,22,100.1319,0,0,91.029,0.275
Ecoopolis,Flying Car,Electromagnetic Storm,Recession,Tuesday,21,73.38,0,0,88.056,0.0884
Ecoopolis,Flying Car,Electromagnetic Storm,Booming,Friday,5,59.3086,0,0,71.1703,0.2276
TechHaven,Drone,Clear,Recession,Sunday,12,79.8711,1,0,36.305,0.1561
AquaCity,Autonomous Vehicle,Snowy,Stable,Thursday,7,34.4662,1,0,27.573,0.669
Ecoopolis,Autonomous Vehicle,Clear,Recession,Wednesday,18,28.448,1,0,25.2871,0.0537
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Wednesday,22,36.6566,0,0,33.3242,0.1055
Ecoopolis,Autonomous Vehicle,Rainy,Recession,Wednesday,3,53.6224,0,0,42.8979,0.0542
AquaCity,Flying Car,Clear,Booming,Thursday,18,86.4,1,0,114.6219,0.8692
MetropolisX,Drone,Electromagnetic Storm,Recession,Saturday,7,50.276,0,0,47.7292,0.2018
Neuroburg,Autonomous Vehicle,Snowy,Stable,Saturday,3,70.7895,0,0,67.7412,0.0657
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Tuesday,4,80.3208,0,0,76.862,0.2678
Neuroburg,Autonomous Vehicle,Rainy,Booming,Thursday,4,36.9922,0,0,35.3993,0.0942
Ecoopolis,Drone,Snowy,Booming,Wednesday,16,86.4,0,0,43.3533,0.2705
MetropolisX,Drone,Clear,Recession,Tuesday,19,93.5632,0,0,53.1609,0.2927
MetropolisX,Autonomous Vehicle,Snowy,Booming,Sunday,21,108.3456,0,0,104.3499,0.3994
Ecoopolis,Autonomous Vehicle,Rainy,Booming,Wednesday,1,20.4573,0,0,16.3659,0.1817
MetropolisX,Autonomous Vehicle,Clear,Booming,Saturday,9,103.3102,0,0,93.9183,0.4555
Neuroburg,Autonomous Vehicle,Snowy,Booming,Thursday,13,20.1444,0,0,19.2769,0.0589
Neuroburg,Autonomous Vehicle,Rainy,Stable,Saturday,20,66.3144,0,0,63.4588,0.1089
SolarisVille,Autonomous Vehicle,Snowy,Booming,Sunday,5,108.0,0,0,91.0914,0.7504
AquaCity,Autonomous Vehicle,Rainy,Booming,Sunday,6,44.5605,0,0,35.6484,0.493
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Thursday,12,52.1077,0,0,41.6862,0.1548
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Booming,Thursday,21,86.6219,0,0,70.8477,0.0653
AquaCity,Autonomous Vehicle,Snowy,Recession,Tuesday,5,66.4578,0,0,53.1663,0.254
AquaCity,Drone,Rainy,Booming,Friday,1,28.7125,0,0,14.3563,0.5902
MetropolisX,Drone,Solar Flare,Stable,Wednesday,18,26.4005,1,0,20.9528,0.759
Neuroburg,Autonomous Vehicle,Rainy,Booming,Thursday,15,103.1889,0,0,98.7453,0.0533
SolarisVille,Flying Car,Solar Flare,Recession,Saturday,2,62.6998,0,0,75.2398,0.0217
SolarisVille,Autonomous Vehicle,Solar Flare,Stable,Monday,18,68.1052,1,0,60.538,0.1132
MetropolisX,Drone,Rainy,Recession,Tuesday,12,33.5473,0,0,20.0642,0.132
Ecoopolis,Car,Clear,Recession,Thursday,19,59.6739,0,0,59.6739,0.0439
Neuroburg,Autonomous Vehicle,Snowy,Booming,Saturday,5,57.6616,0,0,55.1786,0.0533
MetropolisX,Autonomous Vehicle,Clear,Recession,Monday,23,53.9835,0,0,49.0759,0.1668
Neuroburg,Drone,Rainy,Booming,Thursday,8,69.0056,1,0,33.017,0.1678
TechHaven,Drone,Rainy,Recession,Saturday,22,33.4147,0,0,19.9849,0.0462
SolarisVille,Autonomous Vehicle,Solar Flare,Recession,Sunday,15,74.8067,0,0,59.8454,0.0396
TechHaven,Flying Car,Electromagnetic Storm,Booming,Tuesday,13,66.1867,0,0,95.0048,0.191
Neuroburg,Autonomous Vehicle,Clear,Recession,Thursday,13,37.0873,0,0,37.4619,0.0243
MetropolisX,Autonomous Vehicle,Solar Flare,Booming,Thursday,1,18.0491,0,0,16.4083,0.5422
Neuroburg,Autonomous Vehicle,Snowy,Stable,Friday,14,88.9622,0,0,85.1313,0.0623
TechHaven,Drone,Clear,Booming,Monday,21,41.2466,0,0,23.4355,0.3298
TechHaven,Drone,Rainy,Booming,Thursday,9,28.5597,0,0,17.0812,0.1939
Ecoopolis,Drone,Rainy,Stable,Monday,3,86.4,0,0,43.9254,0.2275
TechHaven,Autonomous Vehicle,Snowy,Recession,Sunday,23,36.6542,0,0,35.0758,0.1054
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Friday,0,70.4554,0,0,67.4214,0.1975
Ecoopolis,Autonomous Vehicle,Clear,Booming,Saturday,13,25.581,1,0,20.4648,0.22
Ecoopolis,Autonomous Vehicle,Solar Flare,Stable,Tuesday,1,33.8471,0,0,30.0863,0.2398
SolarisVille,Autonomous Vehicle,Rainy,Booming,Thursday,5,93.9022,0,0,75.1218,0.3156
AquaCity,Flying Car,Rainy,Stable,Tuesday,21,31.7419,0,0,42.3226,0.6011
Neuroburg,Autonomous Vehicle,Rainy,Stable,Sunday,11,32.2518,0,0,30.863,0.1038
MetropolisX,Autonomous Vehicle,Rainy,Booming,Tuesday,22,66.1012,0,0,55.6642,0.7974
Ecoopolis,Autonomous Vehicle,Clear,Booming,Monday,18,65.5635,1,0,58.2787,0.158
AquaCity,Autonomous Vehicle,Rainy,Booming,Friday,22,64.8746,0,0,51.8997,0.3182
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Recession,Wednesday,2,18.0312,0,0,17.2547,0.0738
MetropolisX,Drone,Solar Flare,Recession,Monday,14,49.0992,0,0,27.8973,0.0877
AquaCity,Flying Car,Solar Flare,Recession,Tuesday,10,103.7705,0,0,124.5247,0.1703
Ecoopolis,Autonomous Vehicle,Clear,Recession,Monday,2,58.339,0,0,46.6712,0.0748
TechHaven,Autonomous Vehicle,Clear,Stable,Monday,22,29.4837,0,0,26.8033,0.269
MetropolisX,Drone,Snowy,Stable,Wednesday,9,72.9986,0,0,43.6595,0.3935
TechHaven,Autonomous Vehicle,Solar Flare,Stable,Wednesday,2,47.286,0,0,42.9873,0.1603
Ecoopolis,Autonomous Vehicle,Rainy,Recession,Monday,2,28.6192,0,0,25.4393,0.1082
SolarisVille,Flying Car,Clear,Recession,Friday,20,113.2308,0,0,135.877,0.1102
Neuroburg,Autonomous Vehicle,Solar Flare,Recession,Wednesday,18,32.081,1,0,19.9416,0.0142
MetropolisX,Autonomous Vehicle,Electromagnetic Storm,Stable,Sunday,6,76.4058,0,0,89.3635,1.1633
TechHaven,Autonomous Vehicle,Solar Flare,Recession,Thursday,6,68.1207,0,1,61.9279,0.0516
MetropolisX,Drone,Rainy,Recession,Saturday,4,51.896,0,0,31.0383,0.4399
MetropolisX,Drone,Snowy,Booming,Saturday,20,27.4894,0,0,16.441,0.5562
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Tuesday,13,21.9184,0,0,17.5347,0.1128
AquaCity,Autonomous Vehicle,Clear,Booming,Monday,15,82.534,0,0,66.0272,0.8888
AquaCity,Autonomous Vehicle,Solar Flare,Booming,Thursday,1,76.8817,0,0,61.5054,0.6484
AquaCity,Drone,Rainy,Stable,Wednesday,8,14.1811,1,0,7.0905,0.4795
Ecoopolis,Flying Car,Clear,Stable,Tuesday,8,53.9323,1,0,64.7188,0.3779
MetropolisX,Autonomous Vehicle,Solar Flare,Stable,Monday,18,49.3479,1,0,36.2519,0.505
Ecoopolis,Autonomous Vehicle,Rainy,Booming,Thursday,18,62.208,1,0,63.3217,0.4424
AquaCity,Drone,Electromagnetic Storm,Stable,Thursday,8,17.0414,1,0,9.4675,1.0557
Ecoopolis,Autonomous Vehicle,Snowy,Stable,Thursday,6,40.4338,0,0,32.347,0.19
Neuroburg,Autonomous Vehicle,Snowy,Stable,Wednesday,23,32.6065,0,0,31.2024,0.0829
SolarisVille,Autonomous Vehicle,Clear,Stable,Monday,9,86.3879,0,0,69.1103,0.2927
AquaCity,Flying Car,Clear,Booming,Saturday,10,94.4836,0,0,113.3804,0.5735
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Wednesday,23,40.6424,0,0,32.5139,0.1305
TechHaven,Autonomous Vehicle,Snowy,Recession,Sunday,19,13.9048,0,0,13.3061,0.0931
MetropolisX,Autonomous Vehicle,Snowy,Booming,Saturday,1,84.7455,0,1,81.0962,0.4312
Ecoopolis,Autonomous Vehicle,Snowy,Recession,Wednesday,8,25.9387,1,0,20.7509,0.1183
MetropolisX,Autonomous Vehicle,Clear,Recession,Saturday,15,82.2237,0,0,74.7488,0.2344
SolarisVille,Flying Car,Rainy,Booming,Monday,8,68.8275,1,0,82.593,0.5478
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Stable,Sunday,10,59.8699,0,0,47.8959,0.2265
Ecoopolis,Flying Car,Clear,Stable,Sunday,8,74.7924,0,0,89.7509,0.3784
SolarisVille,Autonomous Vehicle,Rainy,Booming,Tuesday,15,74.8553,0,0,59.8842,0.2198
MetropolisX,Flying Car,Electromagnetic Storm,Stable,Monday,20,36.7981,0,0,46.4818,0.8073
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Booming,Monday,14,38.5478,0,0,36.8878,0.2327
AquaCity,Autonomous Vehicle,Clear,Stable,Sunday,14,45.7971,1,0,36.6377,0.3994
